id,name,shortname,entrez_id,mgi
336,"sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A","Sema7a","20361","1306826"
218,"Na+/K+ transporting ATPase interacting 3","Nkain3","269513","2444830"
567,"Purkinje cell protein 4","Pcp4","18546","97509"
172,"proline dehydrogenase","Prodh","19125","97770"
101,"potassium inwardly-rectifying channel, subfamily J, member 5","Kcnj5","16521","104755"
213,"lymphocyte antigen 6 complex, locus K","Ly6k","76486","1923736"
368,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4","Ppfia4","68507","1915757"
323,"LIM and calponin homology domains 1","Limch1","77569","1924819"
394,"neurotrophic tyrosine kinase, receptor, type 3","Ntrk3","18213","97385"
256,"somatostatin receptor 4","Sstr4","20608","105372"
244,"septin 4","Sept4","18952","1270156"
333,"NK2 homeobox 2","Nkx2-2","18088","97347"
359,"Suppression of tumorigenicity 7","St7","64213","1927450"
284,"SMAD family member 6","Smad6","17130","1336883"
51,"hairy and enhancer of split 6","Hes6","55927","1859852"
561,"suppressor of fused homolog (Drosophila)","Sufu","24069","1345643"
144,"cadherin 3","Cdh3","12560","88356"
221,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E","Sema3e","20349","1340034"
370,"oligophrenin 1","Ophn1","94190","2151070"
303,"secreted phosphoprotein 1","Spp1","20750","98389"
129,"5 hydroxytryptamine (serotonin) receptor 4","Htr4","15562","109246"
260,"glutamate receptor, metabotropic 1","Grm1","14816","1351338"
433,"regulator of G-protein signaling 8","Rgs8","67792","108408"
145,"regulator of G-protein signaling 9","Rgs9","19739","1338824"
443,"LY6/PLAUR domain containing 6","Lypd6","320343","2443848"
491,"casein kinase 1, gamma 3","Csnk1g3","70425","1917675"
388,"wingless-type MMTV integration site family, member 3A","Wnt3a","22416","98956"
456,"protein tyrosine phosphatase, non-receptor type 5","Ptpn5","19259","97807"
356,"cholecystokinin","Cck","12424","88297"
331,"orthodenticle homolog 2","Otx2","18424","97451"
173,"nischarin","Nisch","64652","1928323"
36,"hypocretin","Hcrt","15171","1202306"
305,"neuropilin 2","Nrp2","18187","1100492"
205,"bone morphogenetic protein 6","Bmp6","12161","88182"
257,"single-minded homolog 1 (Drosophila)","Sim1","20464","98306"
272,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 14","Slc7a14","241919","3040688"
829,"neurexin II","Nrxn2","18190","1096362"
87,"5-hydroxytryptamine (serotonin) receptor 6","Htr6","15565","1196627"
832,"ATPase, Na+/K+ transporting, beta 1 polypeptide","Atp1b1","11931","88108"
930,"guanine nucleotide binding protein (G protein), gamma 13","Gng13","64337","1925616"
422,"scratch homolog 1, zinc finger protein (Drosophila)","Scrt1","170729","2176606"
469,"tetraspanin 7","Tspan7","21912","1298407"
110,"neurogenic differentiation 6","Neurod6","11922","106593"
392,"RIKEN cDNA 2410002F23 gene","2410002F23Rik","668661","1914226"
995,"guanine nucleotide binding protein (G protein), gamma 5","Gng5","14707","109164"
466,"solute carrier family 1 (glial high affinity glutamate transporter), member 3","Slc1a3","20512","99917"
121,"protein phosphatase 1, regulatory (inhibitor) subunit 1B","Ppp1r1b","19049","94860"
440,"activin A receptor, type IC","Acvr1c","269275","2661081"
171,"heat shock protein 12A","Hspa12a","73442","1920692"
156,"laminin, beta 3","Lamb3","16780","99915"
68,"receptor-associated protein of the synapse","Rapsn","19400","99422"
185,"neurogenin 2","Neurog2","11924","109619"
386,"sonic hedgehog","Shh","20423","98297"
533,"calcium/calmodulin-dependent protein kinase kinase 2, beta","Camkk2","207565","2444812"
490,"neurogenin 1","Neurog1","18014","107754"
523,"microfibrillar-associated protein 2","Mfap2","17150","99559"
304,"delta-like 1 (Drosophila)","Dll1","13388","104659"
297,"cerebellar degeneration-related 2","Cdr2","12585","1100885"
225,"notch 2","Notch2","18129","97364"
55,"cholinergic receptor, nicotinic, alpha polypeptide 7","Chrna7","11441","99779"
176,"cell division cycle 6","Cdc6","23834","1345150"
62,"tyrosine hydroxylase","Th","21823","98735"
162,"protein inhibitor of activated STAT 3","Pias3","229615","1913126"
227,"achaete-scute complex homolog 1 (Drosophila)","Ascl1","17172","96919"
77,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A","Sema4a","20351","107560"
108,"LIM homeobox protein 3","Lhx3","16871","102673"
29,"integral membrane protein 2B","Itm2b","16432","1309517"
178,"zinc finger protein of the cerebellum 4","Zic4","22774","107201"
301,"host cell factor C2","Hcfc2","67933","1915183"
103,"LIM homeobox protein 5","Lhx5","16873","107792"
180,"DiGeorge syndrome critical region gene 6","Dgcr6","13353","1202877"
26,"nuclear receptor subfamily 4, group A, member 2","Nr4a2","18227","1352456"
243,"protein phosphatase 1, catalytic subunit, gamma isoform","Ppp1cc","19047","104872"
7,"melanocortin 4 receptor","Mc4r","17202","99457"
397,"cannabinoid receptor 1 (brain)","Cnr1","12801","104615"
821,"G protein-coupled receptor 6","Gpr6","140741","2155249"
198,"cadherin 4","Cdh4","12561","99218"
299,"phosphatase and actin regulator 1","Phactr1","218194","2659021"
307,"transcription factor AP-2 beta","Tfap2b","21419","104672"
895,"BAH domain and coiled-coil containing 1","Bahcc1","268515","2679272"
796,"empty spiracles homeobox 1","Emx1","13796","95387"
116,"POU domain, class 2, transcription factor 1","Pou2f1","18986","101898"
53,"atonal homolog 1 (Drosophila)","Atoh1","11921","104654"
190,"melanocortin 3 receptor","Mc3r","17201","96929"
365,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)","Elavl2","15569","1100887"
117,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C","Sema3c","20348","107557"
463,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)","Cdk5r1","12569","101764"
451,"forkhead box P4","Foxp4","74123","1921373"
147,"zinc finger protein 90","Zfp90","22751","104786"
651,"synaptotagmin VI","Syt6","54524","1859544"
612,"oligodendrocyte transcription factor 2","Olig2","50913","1355331"
663,"solute carrier family 32 (GABA vesicular transporter), member 1","Slc32a1","22348","1194488"
681,"adenylate kinase 4","Ak4","11639","87979"
459,"serine (or cysteine) peptidase inhibitor, clade H, member 1","Serpinh1","12406","88283"
67,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6","Gabra6","14399","95618"
364,"DnaJ (Hsp40) homolog, subfamily B, member 1","Dnajb1","81489","1931874"
131,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2","Gabrb2","14401","95620"
212,"heat shock protein 12B","Hspa12b","72630","1919880"
427,"cholinergic receptor, nicotinic, alpha polypeptide 3","Chrna3","110834","87887"
32,"notch 3","Notch3","18131","99460"
460,"calcium/calmodulin-dependent protein kinase II alpha","Camk2a","12322","88256"
143,"nestin","Nes","18008","101784"
271,"low-density lipoprotein receptor-related protein 10","Lrp10","65107","1929480"
119,"jagged 2","Jag2","16450","1098270"
186,"SLIT-ROBO Rho GTPase activating protein 3","Srgap3","259302","2442214"
52,"neurturin","Nrtn","18188","108417"
102,"LIM homeobox protein 1","Lhx1","16869","99783"
146,"somatostatin","Sst","20604","98326"
43,"cyclin D2","Ccnd2","12444","88314"
2,"fatty acid binding protein 7, brain","Fabp7","12140","101916"
537,"nuclear factor, interleukin 3, regulated","Nfil3","18030","109495"
65,"dopamine receptor D4","Drd4","13491","94926"
498,"mitogen-activated protein kinase kinase kinase kinase 5","Map4k5","399510","1925503"
224,"acyl-CoA synthetase bubblegum family member 1","Acsbg1","94180","2385656"
4,"pro-opiomelanocortin-alpha","Pomc","18976","97742"
550,"methyl-CpG binding domain protein 4","Mbd4","17193","1333850"
35,"brain derived neurotrophic factor","Bdnf","12064","88145"
97,"chemokine (C-X-C motif) receptor 4","Cxcr4","12767","109563"
40,"cholinergic receptor, nicotinic, alpha polypeptide 9","Chrna9","231252","1202403"
11,"pro-melanin-concentrating hormone","Pmch","110312","97629"
5,"neuropeptide Y","Npy","109648","97374"
1,"calbindin 1","Calb1","12307","88248"
84,"5-hydroxytryptamine (serotonin) receptor 3A","Htr3a","15561","96282"
237,"WD repeat domain 46","Wdr46","57315","1931871"
424,"transcription factor 3","Tcf3","21423","98510"
415,"Purkinje cell protein 2 (L7)","Pcp2","18545","97508"
215,"doublecortin","Dcx","13193","1277171"
865,"NK2 homeobox 1","Nkx2-1","21869","108067"
1242,"solute carrier family 41, member 3","Slc41a3","71699","1918949"
14,"synuclein, alpha","Snca","20617","1277151"
21,"patched homolog 2","Ptch2","19207","1095405"
114,"presenilin 2","Psen2","19165","109284"
580,"solute carrier family 6 (neurotransmitter transporter, GABA), member 1","Slc6a1","232333","95627"
285,"lymphocyte antigen 6 complex, locus H","Ly6h","23934","1346030"
383,"protein phosphatase 2, regulatory subunit B, delta","Ppp2r2d","52432","1289252"
232,"cholinergic receptor, nicotinic, alpha polypeptide 6","Chrna6","11440","106213"
428,"activin receptor IIA","Acvr2a","11480","102806"
412,"paired box 6","Pax6","18508","97490"
192,"Iroquois related homeobox 3","Irx3","16373","1197522"
195,"cadherin 1","Cdh1","12550","88354"
888,"regulator of G-protein signaling 3","Rgs3","50780","1354734"
1127,"plexin D1","Plxnd1","67784","2154244"
988,"mitofusin 2","Mfn2","170731","2442230"
1192,"dual specificity phosphatase 14","Dusp14","56405","1927168"
831,"ADP-ribosylation factor 6","Arf6","11845","99435"
839,"striatin, calmodulin binding protein","Strn","268980","1333757"
349,"dynamin 2","Dnm2","13430","109547"
214,"Ly6/Plaur domain containing 2","Lypd2","68311","1915561"
377,"collagen beta(1-O)galactosyltransferase 2","Colgalt2","269132","2138232"
347,"armadillo repeat gene deleted in velo-cardio-facial syndrome","Arvcf","11877","109620"
127,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9","Slc6a9","14664","95760"
441,"polycystic kidney disease 2","Pkd2","18764","1099818"
160,"Rho guanine nucleotide exchange factor (GEF7)","Arhgef7","54126","1860493"
69,"SPARC-like 1","Sparcl1","13602","108110"
217,"sodium/potassium transporting ATPase interacting 2","NKAIN2","154215",""
342,"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5","Galnt5","241391","2179403"
94,"neurotrophic tyrosine kinase, receptor, type 2","Ntrk2","18212","97384"
481,"insulin-like growth factor 1","Igf1","16000","96432"
472,"cathepsin K","Ctsk","13038","107823"
475,"cell adhesion molecule-related/down-regulated by oncogenes","Cdon","57810","1926387"
112,"gamma-aminobutyric acid (GABA) B receptor, 1","Gabbr1","54393","1860139"
228,"cholinergic receptor, muscarinic 5","Chrm5","213788","109248"
522,"epiphycan","Epyc","13516","107942"
70,"tachykinin 1","Tac1","21333","98474"
115,"dopamine receptor D3","Drd3","13490","94925"
169,"gamma-aminobutyric acid (GABA) receptor, rho 3","Gabrr3","328699","3588203"
362,"T cell leukemia, homeobox 3","Tlx3","27140","1351209"
193,"bone morphogenetic protein 7","Bmp7","12162","103302"
374,"DiGeorge syndrome critical region gene 14","Dgcr14","27886","107854"
64,"signal transducer and activator of transcription 3","Stat3","20848","103038"
300,"phosphatase and actin regulator 4","Phactr4","100169","2140327"
964,"G-protein coupled receptor 88","Gpr88","64378","1927653"
575,"5-hydroxytryptamine (serotonin) receptor 2A","Htr2a","15558","109521"
120,"glutamate receptor, ionotropic, NMDA3B","Grin3b","170483","2150393"
461,"leukocyte receptor cluster (LRC) member 8","Leng8","232798","2142195"
286,"nuclear receptor subfamily 2, group F, member 2","Nr2f2","11819","1352452"
506,"mannosidase, alpha, class 1A, member 2","Man1a2","17156","104676"
409,"engrailed 2","En2","13799","95390"
168,"ubiquitin protein ligase E3A","Ube3a","22215","105098"
758,"thrombospondin 2","Thbs2","21826","98738"
201,"distal-less homeobox 1","Dlx1","13390","94901"
111,"5-hydroxytryptamine (serotonin) receptor 5B","Htr5b","15564","96284"
210,"netrin 1","Ntn1","18208","105088"
811,"sorting nexin 17","Snx17","266781","2387801"
551,"septin 6","Sept6","56526","1888939"
464,"chemokine (C-X3-C motif) ligand 1","Cx3cl1","20312","1097153"
400,"cholinergic receptor, nicotinic, beta polypeptide 4","Chrnb4","108015","87892"
578,"solute carrier family 6 (neurotransmitter transporter, glycine), member 5","Slc6a5","104245","105090"
539,"solute carrier family 12, member 5","Slc12a5","57138","1862037"
468,"DNA methyltransferase (cytosine-5) 1","Dnmt1","13433","94912"
354,"Ca2+-dependent secretion activator","Cadps","27062","1350922"
435,"tryptophan hydroxylase 2","Tph2","216343","2651811"
332,"plexin C1","Plxnc1","54712","1890127"
78,"prepronociceptin","Pnoc","18155","105308"
520,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)","Elavl4","15572","107427"
473,"transforming growth factor, beta 2","Tgfb2","21808","98726"
113,"presenilin 1","Psen1","19164","1202717"
327,"homer homolog 1 (Drosophila)","Homer1","26556","1347345"
436,"neurotrophic tyrosine kinase, receptor, type 1","Ntrk1","18211","97383"
569,"methyl-CpG binding domain protein 2","Mbd2","17191","1333813"
591,"solute carrier family 1 (glial high affinity glutamate transporter), member 2","Slc1a2","20511","101931"
658,"protein phosphatase 1, regulatory (inhibitor) subunit 16B","Ppp1r16b","228852","2151841"
444,"polycystic kidney disease 1 homolog","Pkd1","18763","97603"
501,"neurogenic differentiation 1","Neurod1","18012","1339708"
445,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)","Elavl3","15571","109157"
321,"G protein-coupled receptor 37","Gpr37","14763","1313297"
269,"tRNA methyltransferase 9B","Trmt9b","319582","2442328"
298,"claudin 5","Cldn5","12741","1276112"
480,"Fez family zinc finger 2","Fezf2","54713","1859823"
457,"complement component factor h","Cfh","12628","88385"
25,"calbindin 2","Calb2","12308","101914"
89,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1","Gabrg1","14405","103156"
678,"sortilin 1","Sort1","20661","1338015"
959,"dopa decarboxylase","Ddc","13195","94876"
1008,"cerebellin 3 precursor protein","Cbln3","56410","1889286"
1013,"adhesion G protein-coupled receptor G1","Adgrg1","14766","1340051"
431,"methyl CpG binding protein 2","Mecp2","17257","99918"
594,"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12","Slc6a12","14411","95628"
510,"chondromodulin","Cnmd","16840","1341171"
478,"tribbles homolog 2 (Drosophila)","Trib2","217410","2145021"
514,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A","Abcb1a","18671","97570"
453,"glucosidase, alpha, acid","Gaa","14387","95609"
465,"glucuronyl C5-epimerase","Glce","93683","2136405"
524,"collagen, type I, alpha 1","Col1a1","12842","88467"
411,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 1","Pafah1b1","18472","109520"
27,"tryptophan hydroxylase 1","Tph1","21990","98796"
289,"G protein-coupled receptor 158","Gpr158","241263","2441697"
164,"beclin 1, autophagy related","Becn1","56208","1891828"
293,"cell migration inducing protein, hyaluronan binding","Cemip","80982","2443629"
507,"glial fibrillary acidic protein","Gfap","14580","95697"
470,"vascular cell adhesion molecule 1","Vcam1","22329","98926"
325,"ectonucleoside triphosphate diphosphohydrolase 4","Entpd4","67464","1914714"
437,"ets variant 1","Etv1","14009","99254"
559,"angiopoietin 2","Angpt2","11601","1202890"
22,"GLI-Kruppel family member GLI1","Gli1","14632","95727"
536,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3","Slc13a3","114644","2149635"
555,"secreted frizzled-related protein 1","Sfrp1","20377","892014"
544,"v-crk sarcoma virus CT10 oncogene homolog (avian)","Crk","12928","88508"
545,"v-crk sarcoma virus CT10 oncogene homolog (avian)-like","Crkl","12929","104686"
602,"reticulon 4 receptor-like 1","Rtn4rl1","237847","2661375"
434,"nescient helix loop helix 1","Nhlh1","18071","98481"
527,"ATP-binding cassette, sub-family B (MDR/TAP), member 1B","Abcb1b","18669","97568"
66,"Eph receptor A2","Epha2","13836","95278"
517,"heterogeneous nuclear ribonucleoprotein A/B","Hnrnpab","15384","1330294"
279,"neuropilin 1","Nrp1","18186","106206"
402,"cyclin-dependent kinase inhibitor 1A (P21)","Cdkn1a","12575","104556"
446,"immature colon carcinoma transcript 1","Ict1","68572","1915822"
328,"hairy and enhancer of split 5 (Drosophila)","Hes5","15208","104876"
552,"DNA methyltransferase 3A","Dnmt3a","13435","1261827"
557,"collagen, type III, alpha 1","Col3a1","12825","88453"
546,"chromobox 5","Cbx5","12419","109372"
540,"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1","Galnt1","14423","894693"
209,"engrailed 1","En1","13798","95389"
499,"neurotensin","Nts","67405","1328351 1914655"
571,"pentraxin related gene","Ptx3","19288","104641"
488,"synaptogyrin 3","Syngr3","20974","1341881"
548,"suppressor of variegation 3-9 homolog 1 (Drosophila)","Suv39h1","20937","1099440"
413,"period circadian clock 2","Per2","18627","1195265"
373,"wingless-type MMTV integration site family, member 5B","Wnt5b","22419","98959"
174,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2","Gabrg2","14406","95623"
335,"cyclin-dependent kinase 5","Cdk5","12568","101765"
375,"DiGeorge syndrome critical region gene 8","Dgcr8","94223","2151114"
17,"RAR-related orphan receptor beta","Rorb","225998","1343464"
50,"hairy and enhancer of split 1 (Drosophila)","Hes1","15205","104853"
61,"glutamic acid decarboxylase 2","Gad2","14417","95634"
560,"secretogranin II","Scg2","20254","103033"
562,"midkine","Mdk","17242","96949"
543,"Niemann-Pick type C2","Npc2","67963","1915213"
484,"keratocan","Kera","16545","1202398"
96,"glycine receptor, beta subunit","Glrb","14658","95751"
813,"zinc finger protein 503","Zfp503","218820","1353644"
199,"cadherin 11","Cdh11","12552","99217"
553,"RE1-silencing transcription factor","Rest","19712","104897"
98,"chemokine (C-X-C motif) ligand 12","Cxcl12","20315","103556"
664,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1","Slc1a1","20510","105083"
574,"FK506 binding protein 2","Fkbp2","14227","95542"
358,"leucine rich repeat and fibronectin type III domain containing 5","Lrfn5","238205","2144814"
566,"septin 3","Sept3","24050","1345148"
579,"solute carrier family 6 (neurotransmitter transporter, taurine), member 6","Slc6a6","21366","98488"
542,"RIKEN cDNA D630045J12 gene","D630045J12Rik","330286","2669829"
563,"CKLF-like MARVEL transmembrane domain containing 5","Cmtm5","67272","2447164"
322,"vacuolar protein sorting 13A (yeast)","Vps13a","271564","1922380"
511,"neurotensin receptor 1","Ntsr1","18216","97386"
597,"gastrin releasing peptide","Grp","225642","95833"
454,"G protein-coupled receptor 83","Gpr83","14608","95712"
600,"histidine decarboxylase","Hdc","15186","96062"
526,"RUN and FYVE domain containing 3","Rufy3","52822","106484"
577,"solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2","Slc6a2","20538","1270850"
525,"neuroligin 3","Nlgn3","245537","2444609"
80,"growth associated protein 43","Gap43","14432","95639"
572,"ubinuclein 2","Ubn2","320538","2444236"
609,"NEDD8 activating enzyme E1 subunit 1","Nae1","234664","2384561"
604,"ankyrin 2, brain","Ank2","109676","88025"
684,"SRY (sex determining region Y)-box 9","Sox9","20682","98371"
586,"polymerase (RNA) III (DNA directed) polypeptide E","Polr3e","26939","1349452"
690,"Rho family GTPase 3","Rnd3","74194","1921444"
204,"peripheral myelin protein 22","Pmp22","18858","97631"
521,"nitric oxide synthase 1, neuronal","Nos1","18125","97360"
583,"HGF-regulated tyrosine kinase substrate","Hgs","15239","104681"
126,"glutamate receptor, ionotropic, AMPA2 (alpha 2)","Gria2","14800","95809"
582,"enolase 2, gamma neuronal","Eno2","13807","95394"
691,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","Atic","108147","1351352"
277,"methyl-CpG binding domain protein 5","Mbd5","109241","1924532"
1383,"solute carrier family 8 (sodium/calcium exchanger), member 2","Slc8a2","110891","107996"
587,"synaptosomal-associated protein 25","Snap25","20614","98331"
662,"potassium channel tetramerisation domain containing 13","Kctd13","233877","1923739"
581,"eomesodermin homolog (Xenopus laevis)","Eomes","13813","1201683"
605,"transient receptor potential cation channel, subfamily A, member 1","Trpa1","277328","3522699"
438,"plexin A1","Plxna1","18844","107685"
593,"RAS, guanyl releasing protein 2","Rasgrp2","19395","1333849"
633,"protein kinase C and casein kinase substrate in neurons 3","Pacsin3","80708","1891410"
599,"host cell factor C1","Hcfc1","15161","105942"
679,"hect domain and RLD 3","Herc3","73998","1921248"
789,"aldehyde dehydrogenase 1 family, member L1","Aldh1l1","107747","1340024"
710,"activity regulated cytoskeletal-associated protein","Arc","11838","88067"
613,"oligodendrocyte transcription factor 1","Olig1","50914","1355334"
680,"neuronatin","Nnat","18111","104716"
266,"seizure related gene 6","Sez6","20370","104745"
677,"nuclear receptor co-repressor 1","Ncor1","20185","1349717"
159,"p21 protein (Cdc42/Rac)-activated kinase 1","Pak1","18479","1339975"
694,"similar to axonemal dynein heavy chain 7","LOC329150","627872  329150","2685838"
699,"ornithine decarboxylase, structural 1","Odc1","18263","97402"
707,"USO1 vesicle docking factor","Uso1","56041","1929095"
698,"phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)","Pik3r1","18708","97583"
379,"neuropeptide Y receptor Y1","Npy1r","18166","104963"
704,"protein tyrosine phosphatase, receptor type Z, polypeptide 1","Ptprz1","19283","97816"
634,"POU domain, class 3, transcription factor 4","Pou3f4","18994","101894"
697,"regulator of calcineurin 2","Rcan2","53901","1858219"
369,"corticotropin releasing hormone receptor 2","Crhr2","12922","894312"
629,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)","Mycn","18109","97357"
643,"regulator of G-protein signaling 16","Rgs16","19734","108407"
713,"gelsolin","Gsn","227753","95851"
93,"adenosine A2a receptor","Adora2a","11540","99402"
608,"leucine rich repeat protein 3, neuronal","Lrrn3","16981","106036"
576,"5-hydroxytryptamine (serotonin) receptor 3B","Htr3b","57014","1861899"
824,"eukaryotic translation initiation factor 4E member 3","Eif4e3","66892","1914142"
715,"oxysterol binding protein-like 1A","Osbpl1a","64291","1927551"
1134,"protein phosphatase 1, catalytic subunit, alpha isoform","Ppp1ca","19045","103016"
716,"brain glycogen phosphorylase","Pygb","110078","97828"
683,"paired box 2","Pax2","18504","97486"
977,"growth differentiation factor 10","Gdf10","14560","95684"
968,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1","Slc9a3r1","26941","1349482"
958,"cellular retinoic acid binding protein I","Crabp1","12903","88490"
786,"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6","Slc1a6","20513","1096331"
1003,"wingless-type MMTV integration site family, member 7A","Wnt7a","22421","98961"
848,"distal-less homeobox 5","Dlx5","13395","101926"
606,"cyclin-dependent kinase 17","Cdk17","237459","97517"
482,"versican","Vcan","13003","102889"
635,"transgelin 3","Tagln3","56370","1926784"
733,"gap junction protein, delta 2","Gjd2","14617","1334209"
636,"aristaless related homeobox","Arx","11878","1097716"
620,"runt related transcription factor 1","Runx1","12394","99852"
714,"N-myc downstream regulated gene 1","Ndrg1","17988","1341799"
639,"endothelin receptor type B","Ednrb","13618","102720"
667,"death associated protein 3","Dap3","65111","1929538"
655,"cortistatin","Cort","12854","109538"
650,"very low density lipoprotein receptor","Vldlr","22359","98935"
317,"special AT-rich sequence binding protein 1","Satb1","20230","105084"
787,"diencephalon/mesencephalon homeobox 1","Dmbx1","140477","2153518"
496,"RIKEN cDNA A830010M20 gene","A830010M20Rik","231570","2445097"
311,"casein kinase 1, gamma 1","Csnk1g1","214897","2660884"
282,"synovial sarcoma, X breakpoint 2 interacting protein","Ssx2ip","99167","2139150"
625,"neuromedin U","Nmu","56183","1860476"
970,"early growth response 1","Egr1","13653","95295"
782,"ATPase inhibitory factor 1","Atpif1","11983","1196457"
166,"neuropeptide Y receptor Y2","Npy2r","18167","108418"
986,"distal-less homeobox 2","Dlx2","13392","94902"
1358,"G-protein signalling modulator 1 (AGS3-like, C. elegans)","Gpsm1","67839","1915089"
20,"patched homolog 1","Ptch1","19206","105373"
380,"neuropeptide Y receptor Y5","Npy5r","18168","108082"
628,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)","Cdkn2d","12581","105387"
712,"abhydrolase domain containing 4","Abhd4","105501","1915938"
254,"5-hydroxytryptamine (serotonin) receptor 1D","Htr1d","15552","96276"
570,"limb-bud and heart","Lbh","77889","1925139"
565,"leucine rich repeat transmembrane neuronal 2","Lrrtm2","107065","2389174"
479,"matrix metallopeptidase 9","Mmp9","17395","97011"
723,"mitochondrial pyruvate carrier 1","Mpc1","55951","1915240"
700,"signal-regulatory protein alpha","Sirpa","19261","108563"
107,"neurogenic differentiation 4","Neurod4","11923","108055"
702,"Eph receptor A4","Epha4","13838","98277"
724,"cholinergic receptor, nicotinic, beta polypeptide 3","Chrnb3","108043","106212"
410,"protein phosphatase 1A, magnesium dependent, alpha isoform","Ppm1a","19042","99878"
396,"splicing factor 1","Sf1","22668","1095403"
730,"glutamate receptor, metabotropic 2","Grm2","108068","1351339"
754,"growth arrest specific 1","Gas1","14451","95655"
573,"solute carrier organic anion transporter family, member 1c1","Slco1c1","58807","1889679"
320,"CD247 antigen","Cd247","12503","88334"
528,"jagged 1","Jag1","16449","1095416"
449,"pancreas specific transcription factor, 1a","Ptf1a","19213","1328312"
138,"parvalbumin","Pvalb","19293","97821"
744,"dehydrogenase/reductase (SDR family) member 3","Dhrs3","20148","1315215"
743,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2","Atp5j2","57423","1927558"
759,"thrombospondin 3","Thbs3","21827","98739"
